Outcome,Date,FAR,Protester,Summary,Category,Topic,Case Details,Comments,ID
"[""Denied""]","07/10/2023","15.3","Alliance Technology Group I U.S. GAO","<div class=""ExternalClass70F05098294B4CE781F0EEB9121DF7C1"">1. Agency reasonably eliminated protester’s proposal from award consideration where the proposal included an incomplete attachment that was required by the solicitation.
<p>2. Protest is denied where agency may, but is not required to, engage in clarifications with protester to allow protester to submit complete attachment.<br></p><p>A proposal may be rejected if the [contracting officer] determines that the proposal does not materially comply with the instructions provided.”<br></p><p>In a negotiated procurement, a proposal that fails to conform to the material terms and conditions of the solicitation is considered unacceptable and may not form the basis for award. Wolverine Servs. LLC, B-409906.3, B-409906.5, Oct. 14, 2014, 2014 CPD ¶ 325 at 3-4. Furthermore, an agency is not required to adapt its evaluation to comply with an offeror’s submissions--the question is not what an agency could possibly do to cure a noncompliant submission, but, rather, what it is required to do. Strategic Resources, Inc., B-411024.2, Apr. 29, 2015, 2015 CPD ¶ 200 at 4. In this regard, where, as here, proposal submission requirements are clear, an agency is not required to assume the risks of potential disruption to its procurement to permit an offeror to cure a defect in its proposal submission caused by the offeror’s failure to comply with a mandatory solicitation requirement.<br></p></div>","Post-Selection Procedures","[""Clarifications""]","https://www.gao.gov/products/b-419893.28%23mt=e-report",,"13"
"[""Denied""]","01/03/2020","8.405-3","G4S I COFC No. 19-1329C","<div>G4S argues that CBP’s consideration of ISS’s proposed subcontractor’s experience caused the agency to overlook ISS’s “complete lack of relevant experience and irrationally 8 conclude with high confidence that ISS could successfully perform the work.” Dkt. No. 33 at 16. In essence, G4S claims that ISS failed to meet certain minimum requirements and should have been ineligible to advance to Phase Two. The RFQ, however, includes no such minimum requirements and states that “[t]he Government will assess the collective experience in each vendor’s submittal. The record, therefore, supports CBP’s decision that ISS’s “collective experience” was sufficient to warrant a High Confidence rating. AR 3, 99–100. The Court will not overturn CBP’s determination merely because G4S disagrees with the analysis. Based on ISS’s and [***] collective experience there is no reason to conclude that ISS lacks the resources or experience to meet the solicitation’s requirements.</div>","Innovation","[""Confidence Ratings""]","https://ecf.cofc.uscourts.gov/cgi-bin/show_public_doc?2019cv1329-42-0",,"16"
"[""Denied""]","06/01/2023","8.405-3","Fluor Federal Services, Inc.; CDM Federal Programs Corporation | U.S. GAO","<div>[9] The evaluators referred to these negative findings as issues that “lowers expectations” of success. CDM Smith AR, Tab Y, Technical Factor Consensus Evaluation at 23. Conversely, positive findings were observations that “raises expectations” of success. Id.</div>","Innovation","[""Confidence Ratings""]","https://www.gao.gov/products/b-420783.3%2Cb-420783.4%2Cb-420783.5%2Cb-420783.6%23mt=e-report",,"17"
"[""Denied""]","05/11/2023","16.505","New Generation Solution, LLC | U.S. GAO","<div>Here, the record shows that NewGen’s quotation was rated low confidence under the staffing and management plan factor based on two findings of decreased confidence (and no findings of increased confidence). AR, Tab, Q, Tech. Evaluation Report at 21. Even if the quotation’s rating were increased to moderate confidence for this factor, as the protester asserts, see Comments at 7, the awardee’s quotation still received the higher rating of high confidence for this factor--a rating that the protester does not challenge. Id. at 4. Further, the ratings of NewGen’s quotation under the other two factors--low confidence under the technical approach factor (based on five decreased confidence findings and one increased confidence finding) and moderate confidence under the experience factor (based on two decreased confidence findings and three increased confidence findings)--would be unchanged. AR, Tab Q, Tech. Evaluation Report at 18-21. Compared to the ratings of high confidence that the awardee’s quotation received under all three factors, NewGen has not shown that the relative merits of the vendors’ quotations would have changed if the agency had not assessed the decreased confidence regarding NewGen’s key personnel.</div>","Innovation","[""Confidence Ratings""]","https://www.gao.gov/products/b-421447%23mt=e-report",,"18"
"[""Denied""]","06/20/2023","8.405-3","Leidos Inc, BAH l U.S. GAO","<div class=""ExternalClass263BCD775D8846729BDDEA2013B1AD02""><div style=""margin-top&%2358;14px;margin-bottom&%2358;14px;"">Based on our review of the record, we find no basis to disturb the agency’s evaluation conclusions. The record demonstrates that the agency reasonably evaluated Booz Allen’s quotation in accordance with the terms of the solicitation. There was no requirement to rate Booz Allen’s quotation as high confidence because Booz Allen had Treasury‑specific experience. We find that Booz Allen has not demonstrated how the agency’s evaluation of its quotation in this regard was somehow contrary to the terms of the RFQ, or otherwise violated applicable procurement law or regulation.<br>Under this factor, the TET found that Booz Allen’s quotation warranted a rating of <b>some confidence based on 14 increased confidence findings and six decreased confidence findings.</b></div></div>","Innovation","[""Confidence Ratings""]","https://www.gao.gov/products/b-421524%2Cb-421524.2%2Cb-421524.3%2Cb-421524.4%2Cb-421524.5",,"19"
"[""Denied""]","06/22/2023","15.3","AttainX, Inc. | U.S. GAO","<div class=""ExternalClassBEA0306FF66745C4B8E8C7DB99548635"">In addition to protesting the agency’s low confidence assessments at the element level, AttainX also challenges the agency’s evaluation methodology, which incorporated those assessments into its overall assessment of AttainX’s proposal under the technical experience evaluation factor. First, AttainX complains that it was unreasonable for the agency to assess an overall rating of low confidence under the technical experience factor when AttainX’s proposal received ratings of some confidence for 60 percent of the solicitation requirements, and ratings of high confidence for 14 percent of the requirements. Protest at 9-11. In this context, AttainX maintains that, even if it failed to substantiate more than 25 percent of the solicitation requirements, this did not constitute the “high degree” of unsubstantiated information that warranted exclusion, see RFP at 117, and, accordingly, did not warrant assessment of an overall low confidence rating.
<p>The agency responds that AttainX’s challenges to the agency’s methodology fail to acknowledge that the solicitation expressly advised offerors that, in evaluating technical experience, the agency would consider multiple aspects of offerors’ proposals and make qualitative assessments regarding the offerors’ relative qualifications and experience, stating that the agency would “assess its degree of confidence in an offeror’s understanding and capability to perform [the] work.”<br></p><p>Finally, we do not find persuasive AttainX’s assertion that its failure to substantiate more than 25 percent of the solicitation requirements did not constitute a “high degree” of unsubstantiated information. As noted above, the solicitation specifically advised that&%2358; “offerors should only claim experience for those elements where they can clearly substantiate (in Phase 2) the level of the experience they are claiming.” See AR, Tab 4b, attach. J-4, Tab 1. On the record here, we reject AttainX’s various allegations challenging the evaluation methodology the agency employed under the technical experience evaluation factor.<br></p></div>","Innovation","[""Confidence Ratings""]","https://www.gao.gov/products/b-421546%2Cb-421546.2%23mt=e-report",,"20"
"[""Denied""]","01/19/2018","15.3","IBM Corporation l U.S. GAO","<div>Additionally, the solicitation put offerors on notice that the only evaluation ratings that would be made under the non-cost/price evaluation factors would be confidence ratings that incorporated risk assessments and reflected the agency’s degree of confidence that the offeror “understands the requirement, proposes a sound approach, and will be successful in performing the contract.”&%23160; Id. at 16.&%23160; On the record here, the agency reasonably determined that IBM’s proposal reflected substantial risk due to its limited compliance with the solicitation provisions requiring a detailed explanation of various aspects of IBM’s proposed approach for performing the contract, specifically including its low proposed staffing levels.&%23160; That is, our review of the record presented here provides no basis to question the agency’s well-documented concerns and conclusions regarding the substantial risks incorporated into IBM’s proposal.</div>","Innovation","[""Confidence Ratings""]","https://www.gao.gov/products/b-415575",,"21"
"[""Denied""]","04/06/2021","15.3","Dentrust Dental I U.S. GAO","<div class=""ExternalClass077DEE49C96242B88B412F24704099E3"">The agency responds that written portions of DOCS’s proposal raised its confidence in how the firm would address challenges, while the oral presentation caused the agency to have lower confidence in the firm’s ability to deal with challenges.
<p><b style=""text-align&%2358;inherit;"">The agency identified several aspects of DOCS’s proposal that lowered the expectation of success and rated it “some confidence.”</b><br></p><p>DOCS argues that the evaluation conclusion was unreasonable because the solicitation does not state that lower confidence ratings would be given to firms using subcontractor support, and asserts that the PPQ ratings concerned subcontractors not proposed for use here.&%23160; Comments and Supp. Protest at 11-12.<br></p><p>The record shows that the agency’s concern was not that DOCS is using subcontractors, but that DOCS was rated only “some confidence” in its use of subcontractors in the above-referenced PPQs and the firm would be relying on subcontract support to meet the requirements here.<br></p></div>","Innovation","[""Confidence Ratings""]","https://www.gao.gov/products/b-419054.2,b-419054.3",,"22"
"[""Denied""]","08/18/2023","16.505","International Business Machines Corporation | U.S. GAO","<div class=""ExternalClass32826ABBDB704F6D86D879E1716580F4""><div>Based on our review of the record, we cannot conclude the agency’s evaluation judgments were unreasonable. <b>Instead, the record demonstrates the agency undertook a holistic evaluation based on the criteria identified in the RFQ. See AR, Tab M, MAXIMUS’s Tech. Evaluation at 5-6 (identifying several aspects of the MAXIMUS’s technical approach which “increases confidence” of successful performance with respect to whether the approach demonstrates an approach/methodology for accomplishing the task/subtask requirements.)</b>. Accordingly, we find no basis to sustain the protester’s allegation that the IRS unreasonably failed to make a finding of “decreases confidence” where MAXIMUS’s quotation did not specifically address every facet of the bullet-point tasks/functions</div></div>","Innovation","[""Confidence Ratings""]","https://www.gao.gov/products/b-420725.4%2Cb-420725.5%23mt=e-report",,"23"
"[""Denied""]","08/31/2023","8.405-2","Harmonia Holdings Group, LLC | COFC","<div class=""ExternalClass957F17441BD04DB6880F1A36FDB252D9""><div>Plaintiff compares the number of “Decreases Confidences” and “Risks” in its evaluation to those of other offerors and contends the overall ratings are irrational. Pl.’s MJAR at 30 (“Harmonia also had fewer ‘Decreased Confidence’ and ‘Risk’ notations than [XXXXX] and [XX].” (citing AR at 355 (TEP Report)), 32. <b>The Court, however, will not engage in calculating an agency rating by counting “Decreases Confidences,” as plaintiff does, because this court has rejected such an approach.</b> See EFW, Inc. v. United States, 148 Fed. Cl. 396, 409 (2020) (<b>finding protester’s simple count of strengths and weaknesses conflated solicitation’s qualitative approach with a quantitative one</b>); McConnell Jones Lanier &amp; Murphy LLP v. United States, 128 Fed. Cl. 218, 231 (2016) (holding “common sense counsels that the strengths and weaknesses identified in <b>each proposal are not fungible—some strengths would be more important than others to the [agency’s] success, and some weaknesses would pose greater risks”)</b>. T</div></div>","Innovation","[""Confidence Ratings""]","https://ecf.cofc.uscourts.gov/cgi-bin/show_public_doc?2023cv0680-53-0",,"24"
"[""Denied""]","01/20/2023","8.405-3","Applied Insight, LLC | U.S. GAO","<div class=""ExternalClass9668CC93E26A45F7A50B6BD4224B4540"">Finally, in a supplemental protest, Applied Insight alleges that while there was “extensive” internal disagreement in the evaluators’ assessment of strengths, weaknesses, and adjectival ratings, the record fails to sufficiently address “what evaluation findings were used in coming to the final consensus of rankings or resolving the disagreement between evaluation personnel.” Comments &amp; Supp. Protest at 19-32. For example, the protester claims that the record evidences unresolved disagreement between the individual evaluator worksheets, and the TET’s final consensus reports and the SSM. Id. The agency responds that it was not required to document the resolution of every disagreement within the TET, and that, more importantly, the agency adequately documented and substantiated its final evaluation conclusions. Supp. MOL at 10-15; Supp. COS at 1-2. We agree.
<p>Applied Insight quibbles with numerous alleged discrepancies between draft, non-consensus evaluation documentation on the one hand, and the agency’s final TET consensus reports and SSM on the other. But by focusing on the agency’s ongoing deliberations during its lower-level evaluation, the protester fails to call into question the reasonableness of the agency’s final evaluation conclusions. <b>It is axiomatic that “[s]ource selection officials are not bound by the recommendation of lower-level evaluators.”</b> All Points Int’l Distribs., Inc., B-402993, B-402993.2, Sept. 3, 2010, 2010 CPD ¶ 209 at 3. In fact, it is not unusual for individual evaluator ratings to differ from one another, or to differ from the consensus rating eventually assigned; indeed, a score may reasonably be determined after discussions among the evaluators. Unitec Distribution Sys., B-419874, B-419874.2, Aug. 20, 2021, 2021 CPD ¶ 307 at 4. We have repeatedly stated that the overriding concern for our review is not whether an agency’s final evaluation conclusions are consistent with earlier evaluation conclusions, but rather whether they are reasonable and consistent with the stated evaluation criteria, and reasonably reflect the relative merits of the submissions. Level 3 Commc’ns LLC, B-412854 et al., June 21, 2016, 2016 CPD ¶ 171 at 10 n.14.<br></p></div>","Innovation","[""Consensus Evaluation""]","https://www.gao.gov/products/b-421221%2Cb-421221.3%23mt=e-report",,"26"
"[""Denied""]","02/07/2023","16.505","Computer World Services Corporation | U.S. GAO","<div class=""ExternalClass63B3D4A52A574C8ABED6DB842E19636B"">For example, CWS argues that an alleged inconsistency between an adjectival rating assigned to the awardee’s technical proposal by an individual evaluator and the rating assessed by the TEG in its consensus report demonstrates that the agency’s best-value tradeoff was flawed. Comments &amp; Supp. Protest at 14. Differences between individual ratings and final ratings, however, are not sufficient to prove an evaluation was unreasonable or flawed. Unitec Distribution Sys., B-419874, B-419874.2, Aug. 20, 2021, 2021 CPD ¶ 307 at 4 (finding protester’s allegation that the evaluation was “irrational based on the differences between individual evaluator ratings and the consensus rating does not provide a basis to sustain the protest” because GAO’s concern “is not whether the final ratings are consistent with earlier, individual ratings, but whether they reasonably reflect the relative merits of the quotation.”).
<p>We also find no merit to the protester’s contention that the evaluation was flawed because the consensus report lacks an explanation regarding the change in rating. T<b>here is no obligation for an agency to document why the consensus rating differs from individual ratings because an agency commonly relies upon multiple evaluators who often perform individual assessments before the evaluation team reaches consensus as to the evaluation finding, and thus, it is not uncommon for the final group evaluation to differ from individual evaluator findings</b>. SRA Int’l, Inc., B‑407709.5, B-407709.6, Dec. 3, 2013, 2013 CPD ¶ 281 at 10-11.<br></p></div>","Innovation","[""Consensus Evaluation""]","https://www.gao.gov/products/b-420777.2%2Cb-420777.3%23mt=e-report",,"27"
"[""Sustained""]","03/01/2023","16.505","General Dynamics Information Technology, Inc. | U.S. GAO","<div class=""ExternalClassD633E996C6664F599BFF83D281E4193A""><div>GDIT argues that the VA’s evaluation of proposals was unreasonable because the consensus evaluation prepared by the TEP did not document why it assigned strengths or weaknesses that were not initially assigned by the individual evaluators. Comments &amp; Supp. Protest at 28-30. We find no merit to this argument.
</div><p>The overriding concern for our review is not whether an agency’s final evaluation conclusions are consistent with earlier evaluation conclusions, but rather whether they are reasonable and consistent with the stated evaluation criteria, and reasonably reflect the relative merits of the submissions.&%23160;</p><p>The record provided by the VA consists of evaluations of each offeror’s proposal that were prepared by the three members of the TEP, and the consensus report prepared by the TEP. GDIT notes that certain strengths assigned to GovCIO’s proposal and weaknesses assigned to GDIT’s proposal were not identified in the evaluation sheets prepared by the TEP members, and instead were first identified in the TEP consensus report. The protester contends that the record does not support the assignment of these strengths and weaknesses for two reasons&%2358; (1) the evaluation guide for this procurement required all evaluation findings to originate with an individual evaluator, and (2) this TEP consensus did not explain why the panel assigned strengths and weaknesses that the individual evaluators did not previously identify.&%23160;</p><p>First, we note that the solicitation specifically stated that adjectival ratings for each evaluation factor would be assigned through a consensus, and that adjectival ratings would not be assigned by individual evaluators&%2358;&%23160;</p><p>The Government will rate a Contractor’s Technical response at the factor level by team consensus, using an adjectival rating that most accurately defines the Contractor’s technical merit considering all elements identified in this section. . . . A rating will not be given at the element level or by an individual rater<br></p></div>","Innovation","[""Consensus Evaluation""]","https://www.gao.gov/products/b-421290%2Cb-421290.2",,"28"
"[""Denied""]","01/03/2020","8.405-3","G4S I COFC No. 19-1329C","<div>In support of its technical and price evaluations, the agency memorialized its findings with written Consensus Evaluation Reports, Price Analysis Reports, and an analysis of its best value determination.</div>","Innovation","[""Consensus Evaluation""]","https://ecf.cofc.uscourts.gov/cgi-bin/show_public_doc?2019cv1329-42-0",,"29"
"[""Denied""]","09/01/2023","8.405-3","Allegheny Science & Technology Corporation | U.S. GAO","<div class=""ExternalClassCF53A7F2DAD74F9EB68A38F8D1A5F5CF"">The remaining issues raised in Allegheny’s protest contend that Energy misevaluated quotations and made an unreasonable source selection decision. Although the evaluators did not create a single consensus evaluation, as noted above, the SSA reviewed the three individual evaluators’ ratings and their comments and prepared a best-value decision that explained the SSA’s view of the overall evaluations of each quotation and determined that ETA’s quotation provided the best value. Allegheny argues that, in multiple instances, the record shows that the SSA’s judgment was unreasonable and treated the two firms unequally.
<p>In reviewing a challenge to the evaluation of quotations under the multiple award schedule, our Office will not reevaluate quotations, but will examine the record to ensure that the agency’s evaluation was reasonable and consistent with the terms of the solicitation. Systematic Mgmt. Servs., Inc., B-407199 et al., Nov. 29, 2012, 2013 CPD ¶ 155 at 3. Our analysis begins with Allegheny’s initial broad challenge to the lack of a single consensus technical evaluation&%23160;</p><p>Allegheny initially argues that the agency’s failure to create a consensus technical evaluation constitutes a failure to adequately document the evaluation record. Supp. Protest at 1‑3. However, as Energy notes, the source selection procedures contemplated under FAR section 8.405 provide for streamlined evaluation and documentation, and do not expressly require that an evaluation record from multiple evaluators be reduced to a single consensus view. If the record otherwise documents the source selection official’s judgments and reflects a fair and reasonable assessment of the separate evaluations and is consistent with the solicitation, we see no requirement that an agency also provide a consensus evaluation for the SSA<br></p></div>","Innovation","[""Consensus Evaluation""]","https://www.gao.gov/products/b-421699%2Cb-421699.2%23mt=e-report",,"30"
